La Bicicleta,Carlos Vives & Shakira,2016,Solo,Just Dance 2017
Lean On,Major Lazer & DJ Snake ft. MØ,2015,Dance Crew,Just Dance 2017
Leila,Cheb Salama,2016,Solo,Just Dance 2017
Little Swing,AronChupa ft. Little Sis Nora,2016,Duet,Just Dance 2017
Oishii Oishii,Wanko Ni Mero Mero,2016,Duet,Just Dance 2017
PoPiPo,Hatsune Miku,2008,Trio,Just Dance 2017
RADICAL,Dyro & Dannic,2014,Solo,Just Dance 2017
Run the Night,Gigi Rowe,2016,Solo,Just Dance 2017
September,"Earth, Wind & Fire (Equinox Stars)",1978,Trio,Just Dance 2017
Single Ladies (Put a Ring on It),Beyoncé,2008,Solo,Just Dance 2017
Sorry,Justin Bieber,2015,Solo,Just Dance 2017
Te Dominar,Daya Luz,2016,Trio,Just Dance 2017
Tico-Tico No Fubá,Zequinha de Abreu (The Frankie Bostello Orchestra),1917,Duet,Just Dance 2017
Titanium,David Guetta ft. Sia,2011,Solo,Just Dance 2017
What Is Love,Haddaway (Ultraclub 90),1993,Solo,Just Dance 2017
Watch Me (Whip/Nae Nae),Silentó,2015,Dance Crew,Just Dance 2017
Wherever I Go,OneRepublic,2016,Solo,Just Dance 2017
Worth It,Fifth Harmony ft. Kid Ink,2015,Solo,Just Dance 2017
William Tell Overture,Rossini,1829,Duet,Just Dance 2016
Thumbs,Sabrina Carpenter,2016,Solo,Just Dance 2018
J’suis pas jalouse,Andy Raconte,2017,Duet,Just Dance 2018
Sun,DEMO,1999,Solo,Just Dance 2018
Error,Natalia Nykiel,2016,Solo,Just Dance Unlimited
Dagomba,Sorcerer,2010,Solo,Just Dance 2
Spectronizer,Sentai Express,2011,Dance Crew,Just Dance 3
Feel So Right,Imposs Ft. Konshens,2013,Solo,Just Dance 2014
Isidora,Bog Bog Orkestar,2013,Solo,Just Dance 2014
Epic Sirtaki,The Cast of Zorba the Greek (The Bouzouki's),2014,Trio,Just Dance 2015
